#,Date-Time (Pacific Standard Time),Ch: 1 - Temperature   (°C),Ch: 1 - Temperature Max : Max (°C),Ch: 1 - Temperature Min : Min (°C),Ch: 1 - Temperature Avg : Avg (°C),Ch: 1 - Temperature Std Dev : Std Dev (°C),Ch: 2 - RH   (%),Ch: 2 - RH Max : Max (%),Ch: 2 - RH Min : Min (%),Ch: 2 - RH Avg : Avg (%),Ch: 2 - RH Std Dev : Std Dev (%),Dew Point   (°C),Button Down,Host Connected,End of File
1,03/21/2022 17:05:00,21.31,21.31,21.31,21.31,0.00,45.67,45.67,45.67,45.67,0.00,9.13,,,
2,03/21/2022 17:09:26,,,,,,,,,,,,Logged,,
3,03/21/2022 17:09:28,,,,,,,,,,,,,Logged,Logged
